Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;pau-minoves/jseats;https://github.com/pau-minoves/jseats/blob/master/src/site/resources/jseats_architecture.png;entire;boxes_and_arrows;pipes-and-filters;control_flow;static, dynamic;functional_suitability;medium;packages, classes;control_flow;rectangles, icons;n;uni;n;y;n;y;parameters;NA;
Anonymous;lowtalkers/escape-reality;https://github.com/lowtalkers/escape-reality/blob/master/diagrams/architecture1.png;entire;boxes_and_arrows, icons_and_arrows;client-server;data_flow;dynamic;maintainability;high;servers, DBs, technologies;data_flow;rectangles, cylinders, icons;y;uni, bi;n;n;n;y;n;aws, a-frame, react, nodejs, digitalocean, redis, mariadb;
Anonymous;kryptokrauts/ae-prediction-cards;https://github.com/kryptokrauts/ae-prediction-cards/blob/main/images/architecture.png;entire;boxes_and_arrows;SOA, smart-contracts;control_flow;dynamic;functional_suitability;low;DBs, services, clients;function_calls, data_flow;rectangles, squares, icons;y;bi;n;y;n;y;text;aeternity, ipfs;blockchain
Anonymous;bcgov/embc-ess;https://github.com/bcgov/embc-ess/blob/r1develop/architecture-diagram.png;entire;boxes_and_arrows, boxes;client-server, layered;general;static;maintainability;medium;DBs, packages, technologies;data_flow;rectangles, icons;y;uni;n;y;n;y;n;angular, .net;
Anonymous;hyeonsangjeon/youtube-dl-nas;https://github.com/hyeonsangjeon/youtube-dl-nas/blob/master/pic/Architecture-Youtube-dl-nas.png;entire+;icons_and_arrows, boxes;NA;connectivity, control_flow, security;dynamic;security, functional_suitability;high;network_components, firewalls;data_flow;squares, icons;y;uni, bi;n;y;n;y;n;NA;
Anonymous;aikkala/user-in-the-box;https://github.com/aikkala/user-in-the-box/blob/main/figs/architecture.svg;part;boxes_and_arrows;NA;general;static;maintainability;low;classes;inheritance;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;lvyahui8/http-proxy;https://github.com/lvyahui8/http-proxy/blob/master/api_platform_architecture.jpg;entire+;boxes_and_arrows;client-server, layered;general;static;maintainability;medium;DBs, layers, functions, technologies;data_flow, function_calls;rectangles;y;uni;n;y;n;y;n;openresty, redis, mysql, apache, druid ;
Anonymous;domingo1021/Bunny-code;https://github.com/domingo1021/Bunny-code/blob/main/Archives/System_architecture.png;entire+;boxes_and_arrows, icons_and_arrows;NA;deployment;dynamic;maintainability, interaction_capability;high;DBs, technologies;control_flow;rectangles, icons;y;uni, bi;n;y;n;y;n;vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github;
Anonymous;adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws;https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/blob/master/Snapshots/architecture.jpg;entire;icons_and_arrows, boxes;event-driven;control_flow;dynamic;maintainability, interaction_capability;high;DBs, technologies, APIs, clients;control_flow;rectangles, 3d, icons;y;no;n;y;n;y;n;aws, apache;
Anonymous;sm2774us/full_stack_interview_prep_2021;https://github.com/sm2774us/full_stack_interview_prep_2021/blob/main/full_stack/Flutter-Dart-app-and-gRPC-go-server-on-Azure-Kubernetes-Service/assets/architecture-diagram.png;entire;boxes_and_arrows;client-server, rest;deployment, connectivity;static;maintainability;high;servers, containers;communication;rectangles, circles;y;uni;n;y;n;y;n;flutter, nodejs, kubernetes, docker, postman;
Anonymous;gdsc-ys/mlops;https://github.com/gdsc-ys/mlops/blob/main/imgs/architecture.png;entire;icons_and_arrows;SOA;control_flow;dynamic;functional_suitability;high;technologies;control_flow;icons;y;uni;n;n;n;y;n;aws, github, mlflow;
Anonymous;krishnaprasadkv/Linux-Commands;https://github.com/krishnaprasadkv/Linux-Commands/blob/master/LinuxArchitecture.jpg;entire;boxes;onion;general;static;maintainability;medium;sub-systems;NA;circles;y;NA;n;y;n;n;n;NA;
Anonymous;Simon-0711/ta_lyrics_sentiment_classification;https://github.com/Simon-0711/ta_lyrics_sentiment_classification/blob/main/images/architecture_highlevel.png;entire;UML;layered;deployment, control_flow;dynamic;maintainability, interaction_capability;high;containers;control_flow;rectangles, icons;y;uni, bi;n;y;n;y;n;fastapi, docker, kibana, elasticsearch;
Anonymous;imamabdulazis/FlutterCleanArchitecture;https://github.com/imamabdulazis/FlutterCleanArchitecture/blob/main/.gitbook/assets/clean-architecture.png;entire;boxes;clean;general;static;maintainability;high;layers;NA;circles;y;NA;y;y;n;n;miniview;NA;clean duplicate
Anonymous;2WAY/Design;https://github.com/2WAY/Design/blob/master/img/whitepaper/6_2wayd_architecture.jpg;entire+;boxes_and_arrows;P2P;general;static;maintainability, security;high;DBs, APIs, sub-systems;data_flow;rectangles, cylinders;y;bi;n;n;n;y;n;NA;
Anonymous;joumenharzli/saga-pattern-nodejs-aws;https://i.ibb.co/HhLBQT1/Saga-Architecture-1.png;entire;boxes_and_arrows;microservices;deployment;static;maintainability;high;DBs, sub-systems;data_flow;rectangles, icons;y;uni;n;y;n;y;n;aws, nodejs;
Anonymous;hexhacking/xCrash;https://github.com/hexhacking/xCrash/blob/master/doc/architecture.png;entire;boxes;layered;general;static;maintainability;medium;classes, sub-systems;NA;rectangles;y;NA;n;y;n;n;n;NA;
Anonymous;microsoft/azure-realtime-fraud-detection;https://github.com/microsoft/azure-realtime-fraud-detection/blob/main/Images/fraud-architecture.png;entire+;icons_and_arrows, boxes;event-driven;deployment, performance;static, dynamic;performance_efficiency, functional_suitability;high;DBs, technologies;data_flow;rectangles, icons;y;uni, bi;n;y;n;y;n;azure;
Anonymous;lkravi/kube8aws;https://github.com/lkravi/kube8aws/blob/multi-master/architecture.png;entire;icons_and_arrows, boxes;publish-subscribe;deployment, connectivity;static;maintainability, reliability;medium;technologies, network_components;communication;rectangles, squares, icons;y;uni;n;y;n;y;n;aws, kubernetes;
Anonymous;MyEMS/myems;https://github.com/MyEMS/myems/blob/master/docs/images/architecture-function-view-cn.png;entire+;boxes;layered;general;static;maintainability, security;medium;layers, containers, functions;NA;rectangles;n;NA;n;y;n;n;n;kubernetes, docker, apache;
Anonymous;kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking;https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/blob/main/photos/architectural_diagram.png;entire;boxes_and_arrows;client-server;control_flow;dynamic;maintainability;high;servers, APIs, technologies;data_flow;rectangles, circles;y;uni;y;y;n;y;n;nodejs, socket.io, graphxr;
Anonymous;avarghesein/ActiveX.NET;https://github.com/avarghesein/ActiveX.NET/blob/master/ActiveX.NET.Architecture.jpg;entire;icons_and_arrows, boxes;client-server;deployment;dynamic;interaction_capability;high;clients, servers, packages;control_flow;rectangles, icons;y;uni;n;y;n;y;text;NA;
Anonymous;leekoko/Java-Web;https://github.com/leekoko/Java-Web/blob/master/SourceCode/adaptive-loadbalance/loadbalance/assets/dubbo_architecture.png;entire;boxes_and_arrows;publish-subscribe;control_flow;dynamic;functional_suitability;high;sub-systems;control_flow;rectangles;y;uni;y;n;n;y;n;NA;
Anonymous;oracle-quickstart/oci-jenkins;https://github.com/oracle-quickstart/oci-jenkins/blob/master/images/architecture.png;entire;boxes_and_arrows, icons_and_arrows;client-server;deployment, connectivity, performance;static;maintainability, performance_efficiency, reliability;medium;network_components;communication;squares, icons;y;uni, bi;n;y;n;y;n;oracle;
Anonymous;Neighbor-Army/help-with-covid;https://github.com/neighbor-army/help-with-covid/blob/develop/docs/images/architecture-2.png;entire;boxes_and_arrows;layered;control_flow;dynamic;functional_suitability, interaction_capability;high;layers, functions;control_flow;squares;n;uni;n;y;n;y;n;twilio, nextjs, onfleet;manual sketch
Anonymous;GoogleCloudPlatform/gke-pubsub-websocket-adapter;https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/blob/main/architecture.svg;entire+;boxes_and_arrows;publish-subscribe;connectivity;dynamic;maintainability;medium;technologies;communication, function_calls;rectangles, icons;y;uni, bi;n;y;y;y;n;google, websocketd, pulltop;
Anonymous;hojat72elect/GameHub;https://github.com/hojat72elect/GameHub/blob/main/docs/architecture.png;entire;boxes_and_arrows;MVVM;data_flow;static;maintainability;high;DBs, sub-systems;data_flow;rectangles, cylinders;y;bi;n;n;n;y;n;sqlite, android;bidirectional as two unidirectional
Anonymous;pagopa/pn-infra;https://github.com/pagopa/pn-infra/blob/develop/scripts/rest-api-cognito/architecture-cognito.png;part;icons_and_arrows, boxes;client-server, event-driven;control_flow;dynamic;functional_suitability, interaction_capability;medium;functions, APIs, clients;control_flow;rectangles, icons;y;uni, bi;n;y;n;y;text;aws;
Anonymous;fabriq-labs/fabriq-platform;https://storage.googleapis.com/fabirq_static_asset/images/fabriq-architecture.png;entire+;boxes_and_arrows;layered;connectivity;static, dynamic;functional_suitability;high;DBs, technologies;data_flow, control_flow;rectangles, cylinders, icons;y;uni, bi;n;y;n;y;n;airbyte, hasura, dbt, postgresql, snowplow;
